_id,Link,city,co_active_industries,co_name
644655f1cb7a3f56cd3378b9,www.scv.it,Induno Olona,"['Manufacturing', 'Motor Vehicles']",SCV
64465604cb7a3f56cd3378fa,www.fdsroccobellantone.com,Villa San Giovanni,"['Manufacturing', 'Medical Devices & Equipment']",FDS di Bellantone Rocco Distributore Italia Nova Implants
64465604cb7a3f56cd337902,www.gpcommerce.it,Not Defined,"['Food & Beverage', 'Manufacturing']",GP commerce di Petrizzo Giuseppe
64465618cb7a3f56cd337954,www.greenwood-venice.com,Salzano,"['Building Materials', 'Manufacturing']",Greenwood
64465640cb7a3f56cd3379e2,www.wincota.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Winco Tecnologie Alimentari
64465640cb7a3f56cd3379e7,www.novarredo-srl.it,Not Defined,"['Furniture', 'Manufacturing']",Novarredo srl dei Flli Piantadosi
6446565acb7a3f56cd337a52,www.ansape-terrantica.it,Not Defined,"['Food & Beverage', 'Manufacturing']",AN.SA.PE Soc Coop
6446565acb7a3f56cd337a60,www.asfionline.it,Not Defined,"['Chemicals & Related Products', 'Manufacturing']",Scuola Di Galenica Asfi
64465662cb7a3f56cd337a6b,www.futuralinespa.it,Not Defined,"['Manufacturing', 'Retail']",Futura Line Spa
64465668cb7a3f56cd337a87,www.dalterfood.com,Not Defined,"['Food & Beverage', 'Manufacturing']",DalterFood Group
64465668cb7a3f56cd337a89,www.dominositalia.it,Milan,"['Food & Beverage', 'Manufacturing']",Dominos Pizza
6446566fcb7a3f56cd337aab,www.duessetappezzeria.it,Not Defined,"['Furniture', 'Manufacturing']",Duesse di Visentin Roberta
64465676cb7a3f56cd337ac4,www.demasomaterassiroma.it,Not Defined,"['Furniture', 'Manufacturing']",De Maso Materassi Roma
64465684cb7a3f56cd337ae7,www.aldabra.it,Not Defined,"['Electronics', 'Manufacturing']",Aldabra
6446568bcb7a3f56cd337b10,www.veneziani.it,Garbagnate Milanese,"['Chemicals & Related Products', 'Manufacturing']",Veneziani Group SpA
64465691cb7a3f56cd337b29,www.lemaprodottitipici.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Lema Prodotti Tipici Abruzzesi
644656b3cb7a3f56cd337b9a,www.messefrankfurt.it,Milan,"['Manufacturing', 'Chemicals & Related Products']",Messe Frankfurt Italia
644656c0cb7a3f56cd337bdf,www.nuovaunion.it,Not Defined,"['Manufacturing', 'Textiles & Apparel']",Nuova Union
644656c7cb7a3f56cd337bf5,www.devalleandrea.it,Not Defined,"['Furniture', 'Manufacturing']",Devalleandrea Arredamenti Di Mongano E Radici
644656dacb7a3f56cd337c3b,www.caberg-helm.com,Azzano S.Paolo,"['Manufacturing', 'Sporting Goods']",Helm International SpA
644656e7cb7a3f56cd337c75,www.progetto62.it,Not Defined,"['Manufacturing', 'Textiles & Apparel']",Progetto|62
644656facb7a3f56cd337cbd,www.drivecenter.it,Fano,"['Manufacturing', 'Motor Vehicles']",Drive Center Eventi in Pista
6446570ecb7a3f56cd337d12,www.lenzeitalia.it,Milano,"['Industrial Machinery & Equipment', 'Manufacturing']",Lenze Italia
64465730cb7a3f56cd337d8a,www.lagfood.com,Genoa,"['Food & Beverage', 'Manufacturing']",LAG SpA
64465737cb7a3f56cd337db9,www.wolfyritalia.it,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",Wolfyr Italia
6446574ccb7a3f56cd337df1,www.ata-ind.it,Abbiategrasso,"['Manufacturing', 'Electronics']",ATA Industriale
6446574ccb7a3f56cd337dfd,www.farmadamor.it,Napoli,"['Manufacturing', 'Pharmaceuticals']",Farmaceutici Damor SPA
64465759cb7a3f56cd337e31,www.pernigottigelatieri.com,Italy,"['Food & Beverage', 'Manufacturing']",Pernigotti Maestri Gelatieri Italiani
64465766cb7a3f56cd337e5c,www.aurotecnologie.it,Not Defined,"['Electronics', 'Manufacturing']",Auro Tecnologie
6446576dcb7a3f56cd337e7f,www.amatosoluzionilegno.it,Napoli,"['Furniture', 'Manufacturing']",Amato Soluzioni Legno
64465774cb7a3f56cd337e9a,www.mtaparma.com,Not Defined,"['Food & Beverage', 'Manufacturing']",MTA
6446577bcb7a3f56cd337ebe,www.genkinger.it,Not Defined,"['Manufacturing', 'Industrial Machinery & Equipment']",Genkinger Baka Italia
64465781cb7a3f56cd337ec9,www.merck.it,Not Defined,"['Manufacturing', 'Pharmaceuticals']",Merck Italia
64465781cb7a3f56cd337ece,www.zuarina.it,Not Defined,"['Food & Beverage', 'Manufacturing']",ZUARINA SpA
6446578fcb7a3f56cd337ef9,www.falegnameriadesando.it,Not Defined,"['Furniture', 'Manufacturing']",Falegnameria De Sando
6446578fcb7a3f56cd337f05,www.sanfelice.org,Pistoia,"['Food & Beverage', 'Manufacturing']",Acqua di Toscana San Felice
6446579dcb7a3f56cd337f33,www.camereragazzi.it,Not Defined,"['Furniture', 'Manufacturing']",Mobilfino Camerette
644657a3cb7a3f56cd337f43,www.nex2.it,Not Defined,"['Electronics', 'Manufacturing']",NEX2 Superfast EV Chargers
644657a3cb7a3f56cd337f47,www.ilvinaiolo.com,Milan,"['Food & Beverage', 'Manufacturing']",Il vinaiolo di Andrea Marchesi e C SAS
644657b1cb7a3f56cd337f88,www.ilsoleelaterra.it,Curno,"['Food & Beverage', 'Manufacturing']",Il Sole e la Terra societa' cooperativa - prodotti biologici
